Episode #, Reward, Time, Num_feedbacks, agent_pos, is_done, username
0, 0, 10076, 0, [1, 0], False, None
0, -1, 12076, 0, [2, 0], False, None
0, -2, 14116, 0, [3, 0], True, None
0, 3, 18265, 0, [3, 0], True
1, 0, 13108, 0, [1, 0], False, None
1, -1, 15109, 0, [2, 0], False, None
1, -2, 17110, 0, [3, 0], True, None
1, 3, 20394, 0, [3, 0], True
2, 0, 13082, 0, [1, 0], False, None
2, -1, 15083, 0, [2, 0], False, None
2, -2, 17112, 0, [3, 0], True, None
2, 3, 20311, 0, [3, 0], True
