Episode #, Reward, Time, Num_feedbacks, agent_pos, is_done, username
0, 0, 10127, 0, [1, 3], False, None
0, -1, 12135, 0, [2, 3], False, None
0, -2, 14138, 0, [3, 3], True, None
0, 3, 18619, 0, [3, 3], True
1, 0, 13120, 0, [1, 3], False, None
1, -1, 15146, 0, [2, 3], False, None
1, -2, 17147, 0, [3, 3], True, None
1, 3, 20317, 0, [3, 3], True
2, 0, 13135, 0, [1, 3], False, None
2, -1, 15136, 0, [2, 3], False, None
2, -2, 17139, 0, [3, 3], True, None
2, 3, 20340, 0, [3, 3], True
