Episode #, Reward, Time, Num_feedbacks, agent_pos, is_done
0, 0, 10105, 0, [0, 0], False
0, -3, 16786, 1, [0, 1], False
0, -4, 22400, 2, [0, 2], False
0, -5, 29015, 3, [1, 2], False
0, -6, 35604, 4, [2, 2], False
0, -7, 35620, 4, [2, 2], False
0, -10, 41956, 5, [2, 3], False
0, -11, 48816, 6, [2, 2], False
0, -12, 56705, 7, [2, 3], False
0, -13, 63677, 8, [2, 2], False
0, -14, 71811, 9, [2, 3], False
0, -15, 71829, 9, [2, 3], False
0, -18, 78927, 10, [2, 2], False
0, -19, 86777, 11, [2, 3], False
0, -20, 94202, 12, [2, 2], False
0, -21, 101126, 13, [1, 2], False
0, -22, 107506, 14, [1, 1], False
0, -23, 113314, 15, [1, 0], False
0, -24, 113331, 15, [1, 0], False
0, -27, 121177, 16, [1, 1], False
0, -28, 128196, 17, [1, 0], False
0, -29, 135796, 18, [2, 0], False
0, -30, 135814, 18, [2, 0], False
0, -33, 143030, 19, [2, 1], False
0, -34, 148534, 20, [2, 2], False
0, -35, 148550, 20, [2, 2], False
0, -38, 155467, 21, [2, 1], False
0, -39, 163370, 22, [2, 2], False
0, -40, 170246, 23, [1, 2], False
0, -41, 177197, 24, [1, 1], False
0, -42, 181832, 24, [1, 1], False
1, 0, 191956, 0, [0, 0], False
1, -3, 198227, 1, [0, 1], False
1, -4, 204805, 2, [1, 1], False
1, -5, 211096, 3, [1, 0], False
1, -6, 217935, 4, [2, 0], False
1, -7, 223460, 5, [1, 0], False
1, -8, 231147, 6, [2, 0], False
1, -9, 231166, 6, [2, 0], False
1, -12, 238667, 7, [2, 1], False
1, -13, 245516, 8, [1, 1], False
1, -14, 250766, 9, [0, 1], False
1, -15, 257877, 10, [0, 0], False
1, -16, 265556, 11, [1, 0], False
1, -17, 265575, 11, [1, 0], False
1, -20, 271966, 12, [1, 1], False
1, -21, 277527, 13, [1, 2], False
1, -22, 284531, 14, [2, 2], False
1, -23, 290424, 15, [1, 2], False
1, -24, 296848, 16, [2, 2], False
1, -25, 303140, 17, [2, 3], False
1, -26, 310720, 18, [1, 3], False
1, -27, 316203, 19, [0, 3], False
1, -28, 316220, 19, [0, 3], False
1, -31, 322045, 20, [1, 3], False
1, -32, 327809, 21, [2, 3], False
1, -33, 334746, 22, [2, 2], False
1, -34, 341639, 23, [2, 3], False
1, -35, 341656, 23, [2, 3], False
1, -38, 341671, 23, [2, 3], False
1, -41, 341690, 23, [2, 3], False
1, -44, 344946, 23, [2, 3], False
2, 0, 355077, 0, [0, 0], False
2, -3, 355094, 0, [0, 0], False
2, -6, 355108, 0, [0, 0], False
2, -9, 362101, 1, [0, 1], False
2, -10, 367445, 2, [0, 2], False
2, -11, 367462, 2, [0, 2], False
2, -14, 373905, 3, [0, 3], False
2, -15, 380906, 4, [1, 3], False
2, -16, 380924, 4, [1, 3], False
2, -19, 380938, 4, [1, 3], False
2, -22, 380957, 4, [1, 3], False
2, -25, 386396, 5, [0, 3], False
2, -26, 386416, 5, [0, 3], False
2, -29, 386437, 5, [0, 3], False
2, -32, 392615, 6, [0, 2], False
2, -33, 399060, 7, [1, 2], False
2, -34, 404528, 8, [0, 2], False
2, -35, 410837, 9, [0, 1], False
2, -36, 410856, 9, [0, 1], False
2, -39, 417057, 10, [1, 1], False
2, -40, 422598, 11, [2, 1], False
2, -41, 422616, 11, [2, 1], False
2, -44, 428657, 12, [2, 0], False
2, -45, 428671, 12, [2, 0], False
2, -48, 435747, 13, [2, 1], False
2, -49, 441957, 14, [1, 1], False
2, -50, 448187, 15, [1, 2], False
2, -51, 455134, 16, [0, 2], False
2, -52, 462008, 17, [0, 3], False
2, -53, 469325, 18, [1, 3], False
2, -54, 472650, 18, [1, 3], False
3, 0, 482770, 0, [0, 0], False
3, -3, 489416, 1, [0, 1], False
3, -4, 496145, 2, [1, 1], False
3, -5, 501438, 3, [2, 1], False
3, -6, 507587, 4, [2, 0], False
3, -7, 507602, 4, [2, 0], False
3, -10, 507627, 4, [2, 0], False
3, -13, 513666, 5, [1, 0], False
3, -14, 518986, 6, [2, 0], False
3, -15, 526109, 7, [2, 1], False
3, -16, 526126, 7, [2, 1], False
3, -19, 532269, 8, [2, 2], False
3, -20, 539095, 9, [2, 1], False
3, -21, 546776, 10, [1, 1], False
3, -22, 553107, 11, [1, 0], False
3, -23, 553124, 11, [1, 0], False
3, -26, 559597, 12, [0, 0], False
3, -27, 566045, 13, [0, 1], False
3, -28, 572330, 14, [1, 1], False
3, -29, 577729, 15, [0, 1], False
3, -30, 582986, 16, [1, 1], False
3, -31, 588348, 17, [0, 1], False
3, -32, 594536, 18, [0, 2], False
3, -33, 594551, 18, [0, 2], False
3, -36, 601077, 19, [1, 2], False
3, -37, 606717, 20, [2, 2], False
3, -38, 606745, 20, [2, 2], False
3, -41, 613767, 21, [2, 3], False
3, -42, 613781, 21, [2, 3], False
3, -45, 613796, 21, [2, 3], False
3, -48, 617050, 21, [2, 3], False
4, 0, 632415, 1, [1, 0], False
4, -1, 637612, 2, [0, 0], False
4, -2, 637626, 2, [0, 0], False
4, -5, 643046, 3, [1, 0], False
4, -6, 648679, 4, [2, 0], False
4, -7, 654445, 5, [1, 0], False
4, -8, 661045, 6, [1, 1], False
4, -9, 667706, 7, [1, 0], False
4, -10, 667722, 7, [1, 0], False
4, -13, 677060, 8, [1, 1], False
4, -14, 683614, 9, [2, 1], False
4, -15, 683637, 9, [2, 1], False
4, -18, 690137, 10, [2, 0], False
4, -19, 696395, 11, [1, 0], False
4, -20, 703390, 12, [1, 1], False
4, -21, 709647, 13, [0, 1], False
4, -22, 709666, 13, [0, 1], False
4, -25, 714896, 14, [1, 1], False
4, -26, 720806, 15, [2, 1], False
4, -27, 727066, 16, [2, 2], False
4, -28, 733465, 17, [2, 3], False
4, -29, 739788, 18, [1, 3], False
4, -30, 746207, 19, [1, 2], False
4, -31, 753218, 20, [1, 3], False
4, -32, 760376, 21, [2, 3], False
4, -33, 760392, 21, [2, 3], False
4, -36, 760406, 21, [2, 3], False
4, -39, 760428, 21, [2, 3], False
4, -42, 760448, 21, [2, 3], False
4, -45, 760471, 21, [2, 3], False
4, -48, 763739, 21, [2, 3], False
5, 0, 780022, 1, [0, 1], False
5, -1, 785381, 2, [0, 2], False
