Episode #, Reward, Time, Num_feedbacks, agent_pos, is_done
5, -2, 792057, 3, [0, 1], False
5, -3, 799686, 4, [0, 2], False
5, -4, 806166, 5, [1, 2], False
5, -5, 811574, 6, [2, 2], False
5, -6, 817850, 7, [2, 3], False
5, -7, 817875, 7, [2, 3], False
5, -10, 824698, 8, [2, 2], False
5, -11, 832486, 9, [2, 3], False
5, -12, 832504, 9, [2, 3], False
5, -15, 839516, 10, [1, 3], False
5, -16, 845295, 11, [2, 3], False
5, -17, 845320, 11, [2, 3], False
5, -20, 845348, 11, [2, 3], False
5, -23, 845361, 11, [2, 3], False
5, -26, 845388, 11, [2, 3], False
5, -29, 845406, 11, [2, 3], False
