Episode #, Reward, Time, Num_feedbacks, agent_pos, is_done
0, 0, 10120, 0, [0, 0], False
0, -3, 17340, 1, [0, 1], False
0, -4, 26577, 2, [0, 0], False
0, -5, 34482, 3, [0, 1], False
0, -6, 41467, 4, [0, 0], False
0, -7, 41486, 4, [0, 0], False
0, -10, 49568, 5, [0, 1], False
0, -11, 56807, 6, [0, 0], False
0, -12, 56824, 6, [0, 0], False
0, -15, 56842, 6, [0, 0], False
0, -18, 63366, 7, [1, 0], False
0, -19, 69857, 8, [1, 1], False
0, -20, 76430, 9, [0, 1], False
0, -21, 82728, 10, [0, 0], False
0, -22, 82744, 10, [0, 0], False
0, -25, 82760, 10, [0, 0], False
0, -28, 89219, 11, [1, 0], False
0, -29, 94578, 12, [0, 0], False
0, -30, 94596, 12, [0, 0], False
0, -33, 100908, 13, [0, 1], False
0, -34, 107450, 14, [1, 1], False
0, -35, 113741, 15, [1, 0], False
0, -36, 120409, 16, [0, 0], False
0, -37, 128038, 17, [0, 1], False
0, -38, 136220, 18, [1, 1], False
0, -39, 142309, 19, [2, 1], False
0, -40, 142322, 19, [2, 1], False
0, -43, 148847, 20, [2, 2], False
0, -44, 148868, 20, [2, 2], False
0, -47, 155389, 21, [1, 2], False
0, -48, 155404, 21, [1, 2], False
1, 0, 172727, 1, [1, 0], False
1, -1, 172742, 1, [1, 0], False
1, -4, 178818, 2, [2, 0], False
1, -5, 184411, 3, [1, 0], False
1, -6, 189799, 4, [2, 0], False
1, -7, 189816, 4, [2, 0], False
1, -10, 196948, 5, [2, 1], False
1, -11, 196966, 5, [2, 1], False
1, -14, 203778, 6, [2, 2], False
1, -15, 210774, 7, [2, 1], False
1, -16, 210790, 7, [2, 1], False
1, -19, 218839, 8, [2, 2], False
1, -20, 225658, 9, [1, 2], False
1, -21, 231398, 10, [2, 2], False
1, -22, 237677, 11, [2, 1], False
1, -23, 243178, 12, [2, 0], False
1, -24, 249477, 13, [1, 0], False
1, -25, 249493, 13, [1, 0], False
1, -28, 255538, 14, [2, 0], False
1, -29, 255557, 14, [2, 0], False
1, -32, 262379, 15, [2, 1], False
1, -33, 268739, 16, [1, 1], False
1, -34, 275037, 17, [1, 2], False
1, -35, 281548, 18, [0, 2], False
1, -36, 281570, 18, [0, 2], False
1, -39, 288101, 19, [0, 1], False
1, -40, 294288, 20, [0, 0], False
1, -41, 294304, 20, [0, 0], False
1, -44, 294317, 20, [0, 0], False
1, -47, 294336, 20, [0, 0], False
1, -50, 294347, 20, [0, 0], False
2, 0, 309866, 1, [1, 0], False
2, -1, 315708, 2, [0, 0], False
2, -2, 321347, 3, [1, 0], False
2, -3, 327120, 4, [0, 0], False
2, -4, 327136, 4, [0, 0], False
2, -7, 333198, 5, [1, 0], False
2, -8, 338799, 6, [0, 0], False
