Episode #, Reward, Time, Num_feedbacks, agent_pos, is_done, username
9, -19, 111855, 17, [1, 0], False, parent
9, -20, 118685, 18, [1, 1], False, parent
9, -21, 125496, 19, [1, 0], False, parent
9, -22, 131937, 20, [2, 0], False, parent
9, -23, 138055, 21, [1, 0], False, parent
9, -24, 143716, 22, [2, 0], False, parent
9, -25, 146993, 22, [2, 0], False
10, 0, 13340, 1, [1, 0], False, parent
10, -1, 18892, 2, [2, 0], False, parent
10, -2, 25170, 3, [3, 0], True, parent
10, 3, 28320, 3, [3, 0], True
11, 0, 13567, 1, [1, 0], False, parent
11, -1, 19183, 2, [2, 0], False, parent
11, -2, 24881, 3, [3, 0], True, parent
11, 3, 28009, 3, [3, 0], True
12, 0, 20262, 0, [0, 1], False, None
